Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000010327,64.54678055,0.339811279,0.693334698,0.490111457,0.624055032,0.822281915
ENSG00000010361,377.170236,-0.016635636,0.154552875,-0.107637185,0.914283499,0.965940866
ENSG00000010379,68.64288284,-0.039688781,0.491487165,-0.080752427,0.935638843,0.974127519
ENSG00000010404,9358.974778,0.375729422,0.111536606,3.368664665,0.000755333,0.012296898
ENSG00000010438,278.3934582,-0.522202049,0.186806205,-2.795421321,0.005183212,0.047258071
ENSG00000010539,861.1198354,0.116829691,0.086796854,1.34601297,0.178298334,0.437844367
ENSG00000010626,423.5967837,0.098410353,0.09684311,1.016183324,0.309542096,0.585503058
ENSG00000010704,108.9406503,0.813111758,0.352571753,2.306230582,0.021097752,0.121748765
ENSG00000010803,2878.841058,0.028175108,0.117751237,0.239276534,0.81089116,0.921986298
ENSG00000010810,3699.461694,0.162104072,0.156714711,1.034389633,0.300954049,0.577846023
ENSG00000010818,7026.132865,-0.11729284,0.108813921,-1.077921267,0.281068894,0.556554464
ENSG00000010932,481.113957,0.503399164,0.331169481,1.520065084,0.128494619,0.362913827
ENSG00000011007,4915.527305,0.058094693,0.045171558,1.286090089,0.198411622,0.463955422
ENSG00000011009,6607.278251,0.158103202,0.074478805,2.122794559,0.033771071,0.165270768
ENSG00000011021,3307.682926,0.377120368,0.096126145,3.923182057,8.74E-05,0.002475293
ENSG00000011028,18624.71149,0.592746353,0.163613785,3.622838708,0.000291388,0.006174855
ENSG00000011052,113.840969,-0.21191412,0.355806222,-0.595588574,0.551450112,0.775685975
ENSG00000011105,2810.40681,0.196139189,0.10267297,1.910329364,0.056090819,0.224173109
ENSG00000011114,4120.97396,0.205304298,0.101301617,2.026663584,0.042696829,0.190555158
ENSG00000011132,1428.980213,0.210208774,0.131452442,1.599124139,0.109793022,0.331347512
ENSG00000011143,622.4492702,-0.208946379,0.157038278,-1.330544255,0.183339016,0.444895696
ENSG00000011198,2315.901839,0.11427451,0.047931688,2.384111939,0.017120394,0.105779463
ENSG00000011201,1025.132372,0.18830152,0.173485685,1.085400906,0.277744131,0.553470505
ENSG00000011243,4453.013773,0.024740358,0.078203194,0.316359945,0.751729316,0.891532481
ENSG00000011258,1143.893018,-0.184099391,0.126703233,-1.452996785,0.146224647,0.391578323
ENSG00000011260,1158.601613,-0.05516209,0.130267078,-0.423453811,0.671964191,0.848274297
ENSG00000011275,4458.118358,0.049854014,0.057361448,0.869120567,0.384781188,0.654183015
ENSG00000011295,1772.038448,-0.075451456,0.078752195,-0.958087018,0.338018881,0.61280948
ENSG00000011304,18419.43926,0.281038314,0.125281888,2.243247747,0.024880843,0.135722678
ENSG00000011332,16.33239217,1.484997435,0.523099667,2.838842248,0.004527753,0.042927049
ENSG00000011347,3334.938975,0.224627422,0.135673438,1.655647748,0.097793175,0.308562974
ENSG00000011376,1236.73548,0.063438396,0.076088023,0.833750096,0.404421822,0.669647073
ENSG00000011405,9137.140318,0.010926128,0.117725158,0.092810477,0.926054128,0.970962378
ENSG00000011422,400.8098942,0.144245649,0.255592776,0.564357298,0.572510994,0.789681019
ENSG00000011426,605.9502696,-0.397034667,0.281378299,-1.411035139,0.158234253,0.409659573
ENSG00000011451,4043.85227,0.181481091,0.105219418,1.724787065,0.084565854,0.2843242
ENSG00000011454,3623.411517,-0.156397438,0.058291559,-2.683020313,0.007296056,0.059363212
ENSG00000011465,18349.2804,0.913080205,0.749472029,1.218297909,0.223110785,0.492175902
ENSG00000011478,683.3088699,-0.007994548,0.102001742,-0.07837658,0.937528503,0.974843885
ENSG00000011485,2681.13482,0.147048188,0.062975658,2.335000412,0.019543399,0.115295341
ENSG00000011523,337.8370404,0.016013922,0.26166411,0.061200298,0.951199692,0.980120497
ENSG00000011566,3290.396632,0.000144824,0.129845969,0.001115356,0.999110075,0.999558232
ENSG00000011638,743.1921422,-0.292299582,0.130812443,-2.234493709,0.025450606,0.138028925
ENSG00000011677,61.13543163,-0.10995428,0.282799909,-0.388805925,0.697419717,0.863026995
ENSG00000012048,308.9902516,-0.845976777,0.239632535,-3.530308507,0.000415075,0.007921058
ENSG00000012061,1565.718945,0.432312338,0.07651027,5.65038315,1.60E-08,2.46E-06
ENSG00000012124,66.24550585,-0.91758676,0.367226256,-2.498695954,0.012465121,0.086476876
ENSG00000012171,10204.53502,0.275549017,0.129236049,2.132137428,0.032995551,0.162934796
ENSG00000012174,1643.178126,-0.247632401,0.113241321,-2.186767152,0.028759527,0.149521047
ENSG00000012211,700.0097909,0.067742235,0.11223723,0.603562964,0.546134243,0.772324306
ENSG00000012232,4703.050293,0.148683855,0.171026813,0.86935991,0.384650304,0.654183015
ENSG00000012504,39.95808967,-0.014124506,0.479974663,-0.029427608,0.976523554,0.990988334
ENSG00000012660,10054.48604,0.38073317,0.186162338,2.045167529,0.040838345,0.185697906
ENSG00000012779,212.0402445,-0.291875992,0.231536374,-1.26060535,0.20745107,0.47322289
ENSG00000012817,3097.965294,-0.142505375,0.086226603,-1.652684551,0.09839508,0.309531632
ENSG00000012822,2255.146679,0.108320486,0.105048574,1.031146656,0.302472052,0.57949379
ENSG00000012963,1027.667886,-0.005579481,0.075178289,-0.074216656,0.940837993,0.976501595
ENSG00000012983,3670.991489,-0.060781913,0.092774579,-0.655156982,0.512366688,0.749173057
ENSG00000013016,1019.09113,0.547156234,0.135971342,4.02405556,5.72E-05,0.001784438
ENSG00000013275,4164.564036,0.264369704,0.067753412,3.901939351,9.54E-05,0.002635711
ENSG00000013288,2677.689756,0.151508002,0.057484476,2.63563335,0.008398042,0.065779747
ENSG00000013297,166.8796774,0.726089047,0.189082029,3.840074343,0.000122997,0.00323216
ENSG00000013306,6411.817737,0.034514884,0.075485347,0.457239522,0.647498894,0.834777657
ENSG00000013364,5650.082083,-0.216368791,0.132610924,-1.631606086,0.102762495,0.317890292
ENSG00000013374,3367.600683,0.139097585,0.077286863,1.799757172,0.071898989,0.259013459
ENSG00000013375,18597.52345,0.090777382,0.072378293,1.254207285,0.209766673,0.475949484
ENSG00000013392,948.8486909,-0.156843494,0.083633264,-1.87537216,0.060741542,0.23428693
ENSG00000013441,2596.109881,0.164814619,0.098701777,1.669824228,0.094954145,0.303468891
ENSG00000013503,1054.019389,-0.085817829,0.084371009,-1.017148316,0.309082879,0.585266455
ENSG00000013523,440.4383071,-0.018658104,0.164167815,-0.113652631,0.909513164,0.964314183
ENSG00000013561,2739.350657,-0.158359283,0.115392124,-1.372357812,0.169952077,0.426986047
ENSG00000013563,2784.933216,0.360044387,0.075869224,4.745592033,2.08E-06,0.000134403
ENSG00000013573,472.0530208,-0.247812479,0.124394078,-1.992156564,0.046353882,0.20011912
ENSG00000013583,2647.178375,0.148952617,0.059336328,2.510310656,0.012062499,0.084636718
ENSG00000013588,39356.95375,0.206871592,0.160092134,1.292203355,0.19628673,0.460895397
ENSG00000013619,273.3043194,0.334691108,0.177867253,1.881690436,0.059878059,0.232971031
ENSG00000013810,429.3263736,0.095860328,0.196164055,0.488674277,0.625072318,0.822690847
ENSG00000014123,3278.081097,-0.240297767,0.09651341,-2.489786308,0.012781992,0.087798084
ENSG00000014138,463.9564615,-0.067309014,0.191319906,-0.35181396,0.724977789,0.877120876
ENSG00000014164,1286.850479,0.045885954,0.100911476,0.454714923,0.649314343,0.835706803
ENSG00000014216,16662.22475,-0.01295717,0.114676764,-0.112988629,0.91003957,0.964411827
ENSG00000014257,124.0782072,-0.443189031,0.352012933,-1.259013488,0.20802546,0.473866754
