Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000010244,9312.020604,0.073835156,0.071107665,1.038357212,0.299103782,0.851581023
ENSG00000010256,5101.350002,-0.085441672,0.07045393,-1.212731089,0.225232649,0.812075627
ENSG00000010270,2555.324518,0.086658592,0.058947323,1.470102256,0.141534061,0.749105824
ENSG00000010278,2449.575794,0.146589925,0.114378642,1.281619735,0.199976074,0.80154944
ENSG00000010292,2822.333521,-0.149319069,0.13545911,-1.102318399,0.270323273,0.837958705
ENSG00000010295,303.5118072,-0.006913843,0.174901182,-0.039529996,0.968467839,0.995606759
ENSG00000010310,179.0750542,0.158440925,0.223371553,0.709315594,0.478128654,0.912654353
ENSG00000010318,130.2940975,-0.048966812,0.184453455,-0.265469749,0.790647611,0.973756375
ENSG00000010322,9334.780987,-0.127796901,0.093340179,-1.369152079,0.170951742,0.772860683
ENSG00000010327,64.54678055,0.385279735,0.697845358,0.552099016,0.580880516,0.937837853
ENSG00000010361,377.170236,-0.013809467,0.155934928,-0.088559162,0.929432265,0.989896252
ENSG00000010379,68.64288284,-0.002573415,0.493248098,-0.005217282,0.99583723,0.999060255
ENSG00000010404,9358.974778,0.082539672,0.111609416,0.739540398,0.459578918,0.906622303
ENSG00000010438,278.3934582,-0.408660131,0.188808421,-2.164416866,0.030432371,0.526310244
ENSG00000010539,861.1198354,-0.021762578,0.087725281,-0.248076472,0.804075239,0.9750832
ENSG00000010626,423.5967837,-0.062195868,0.099091158,-0.627663141,0.530224636,0.92806394
ENSG00000010704,108.9406503,0.383252149,0.354563355,1.080913027,0.279735803,0.842731164
ENSG00000010803,2878.841058,-0.152996134,0.118116763,-1.295295686,0.195218247,0.797949621
ENSG00000010810,3699.461694,-0.009000568,0.156845461,-0.057384943,0.954238557,0.993526194
ENSG00000010818,7026.132865,-0.000575228,0.108873463,-0.005283455,0.995784432,0.999060255
ENSG00000010932,481.113957,0.096372128,0.331911138,0.29035521,0.771544506,0.971300877
ENSG00000011007,4915.527305,0.063939419,0.045442679,1.407034533,0.159417149,0.761157468
ENSG00000011009,6607.278251,-0.11532151,0.074723017,-1.543319779,0.122753207,0.72930994
ENSG00000011021,3307.682926,0.359069198,0.096328734,3.727539886,0.000193358,0.032697028
ENSG00000011028,18624.71149,0.121841658,0.163695949,0.74431688,0.456684792,0.90621349
ENSG00000011052,113.840969,-0.404788975,0.358521164,-1.129051827,0.258875971,0.830079034
ENSG00000011105,2810.40681,-0.01215716,0.103099226,-0.117917084,0.906133357,0.986431073
ENSG00000011114,4120.97396,0.115037208,0.10137661,1.134750986,0.256479668,0.82628549
ENSG00000011132,1428.980213,-0.07636104,0.132041986,-0.57830878,0.563055668,0.9349493
ENSG00000011143,622.4492702,-0.102145944,0.157814638,-0.647252659,0.517468435,0.924720037
ENSG00000011198,2315.901839,0.087851317,0.048249697,1.820764127,0.06864272,0.644746764
ENSG00000011201,1025.132372,-0.089280351,0.173941199,-0.513278919,0.607756228,0.942308255
ENSG00000011243,4453.013773,-0.050685212,0.078439046,-0.646173238,0.518167169,0.924998569
ENSG00000011258,1143.893018,-0.051736878,0.12689949,-0.407699649,0.683494195,0.95661735
ENSG00000011260,1158.601613,0.055866186,0.130606133,0.427745505,0.668836416,0.953279626
ENSG00000011275,4458.118358,-0.009205246,0.057654406,-0.159662495,0.873146946,0.983021131
ENSG00000011295,1772.038448,0.005220407,0.078912562,0.066154326,0.947254959,0.992589313
ENSG00000011304,18419.43926,-0.03804651,0.125321839,-0.303590426,0.761439946,0.970031797
ENSG00000011347,3334.938975,0.111794299,0.135836453,0.823006615,0.410504231,0.897265877
ENSG00000011376,1236.73548,0.023554097,0.07690797,0.306263412,0.759404095,0.969209536
ENSG00000011405,9137.140318,0.251023402,0.117724801,2.132289886,0.032983023,0.537129171
ENSG00000011422,400.8098942,0.211966828,0.25642759,0.826614747,0.408455456,0.896959213
ENSG00000011426,605.9502696,0.104249427,0.281453984,0.370395988,0.711087463,0.961401401
ENSG00000011451,4043.85227,-0.030341944,0.105450582,-0.287736147,0.773548718,0.971300877
ENSG00000011454,3623.411517,0.039883364,0.058486347,0.681926056,0.495285709,0.916524149
ENSG00000011465,18349.2804,0.319557048,0.749504768,0.426357592,0.669847298,0.953279626
ENSG00000011478,683.3088699,0.049213964,0.102735018,0.479037867,0.63191169,0.946226997
ENSG00000011485,2681.13482,-0.019773868,0.063630821,-0.310759278,0.755983629,0.968737368
ENSG00000011523,337.8370404,-0.012991998,0.262243875,-0.049541666,0.960487634,0.994060185
ENSG00000011566,3290.396632,0.114438018,0.12994247,0.880682184,0.378489862,0.887427815
ENSG00000011638,743.1921422,0.005247861,0.130880656,0.04009654,0.968016161,0.995549732
ENSG00000011677,61.13543163,0.19305678,0.287571764,0.671334268,0.502007609,0.919414722
ENSG00000012048,308.9902516,-0.278757204,0.239307075,-1.164851494,0.244079111,0.820714209
ENSG00000012061,1565.718945,0.101348931,0.077533331,1.307165953,0.191156356,0.794691884
ENSG00000012124,66.24550585,-0.426076761,0.366965966,-1.161079776,0.245609458,0.820714209
ENSG00000012171,10204.53502,-0.011186784,0.129341437,-0.086490332,0.931076641,0.989929063
ENSG00000012174,1643.178126,0.046495605,0.113297413,0.410385407,0.681523249,0.956260833
ENSG00000012211,700.0097909,0.037729382,0.112995713,0.333901001,0.738454264,0.966328477
ENSG00000012232,4703.050293,-0.085218417,0.171123158,-0.497994647,0.618487815,0.943440592
ENSG00000012504,39.95808967,-0.26601963,0.483701535,-0.549966479,0.582342366,0.937837853
ENSG00000012660,10054.48604,0.597404192,0.186173735,3.208853241,0.001332655,0.118670089
ENSG00000012779,212.0402445,-0.123035705,0.232223651,-0.529815567,0.596239811,0.939166289
ENSG00000012817,3097.965294,-0.100141777,0.086442427,-1.158479461,0.246668429,0.820714209
ENSG00000012822,2255.146679,0.000928758,0.105542122,0.008799882,0.992978801,0.998835108
ENSG00000012963,1027.667886,0.030567275,0.075791121,0.403309443,0.686720596,0.956827821
ENSG00000012983,3670.991489,0.026587628,0.092894696,0.28621255,0.774715332,0.971512958
ENSG00000013016,1019.09113,0.302962051,0.136722483,2.215890503,0.026699002,0.503176855
ENSG00000013275,4164.564036,0.02306294,0.068121828,0.338554336,0.734945488,0.966328477
ENSG00000013288,2677.689756,-0.120785085,0.058103118,-2.078805552,0.037635226,0.557531376
ENSG00000013297,166.8796774,0.232428333,0.193307315,1.20237733,0.229217368,0.814856656
ENSG00000013306,6411.817737,-0.11502545,0.075678706,-1.519918291,0.128531513,0.735891264
ENSG00000013364,5650.082083,-0.259284448,0.132713697,-1.953712803,0.050735191,0.609442997
ENSG00000013374,3367.600683,0.146945524,0.077527834,1.895390555,0.058040679,0.62540343
ENSG00000013375,18597.52345,0.119359577,0.072407302,1.648446678,0.099261044,0.699043814
ENSG00000013392,948.8486909,-0.071322291,0.084270112,-0.846353335,0.397355663,0.893604
ENSG00000013441,2596.109881,0.101440419,0.098999428,1.024656608,0.305525244,0.853199639
ENSG00000013503,1054.019389,0.02834788,0.084870775,0.334012269,0.7383703,0.966328477
ENSG00000013523,440.4383071,0.157767688,0.164614394,0.958407608,0.33785726,0.868651332
ENSG00000013561,2739.350657,0.016949812,0.115482556,0.146773783,0.883310579,0.983265314
ENSG00000013563,2784.933216,0.139323717,0.076327564,1.825339498,0.067949813,0.644746764
ENSG00000013573,472.0530208,-0.205965614,0.125228331,-1.644720582,0.100027446,0.700359465
ENSG00000013583,2647.178375,0.103509248,0.059762231,1.732017808,0.083270392,0.672484361
ENSG00000013588,39356.95375,0.044055152,0.160112977,0.275150416,0.783200679,0.972828834
ENSG00000013619,273.3043194,0.178081934,0.1796911,0.991044818,0.321663696,0.862427414
ENSG00000013810,429.3263736,-0.159866907,0.197303757,-0.810257797,0.417792026,0.898971668
ENSG00000014123,3278.081097,0.095782139,0.096528524,0.992267725,0.321066943,0.862339966
ENSG00000014138,463.9564615,-0.135546355,0.19239099,-0.704535876,0.481099116,0.91289973
ENSG00000014164,1286.850479,-0.058633299,0.101575866,-0.577236521,0.563779689,0.935195872
ENSG00000014216,16662.22475,-0.101728436,0.114721565,-0.886742052,0.375217792,0.884721276
ENSG00000014257,124.0782072,0.19820076,0.353154301,0.561229921,0.574640808,0.936961977
ENSG00000014641,10874.21264,-0.051882191,0.095825214,-0.541425255,0.588214503,0.937837853
ENSG00000014824,3265.586889,0.1350886,0.068319784,1.977298386,0.048007912,0.600849015
ENSG00000014914,244.9415558,0.123721582,0.196099577,0.630912027,0.528098047,0.927593055
ENSG00000014919,2111.432334,0.024755563,0.099212468,0.249520687,0.802958041,0.974860205
ENSG00000015133,2183.528827,-0.038898273,0.171423053,-0.226913898,0.820490695,0.97739996
ENSG00000015153,594.5918661,-0.048404586,0.126819921,-0.381679671,0.702698981,0.960160271
ENSG00000015171,4765.187588,-0.026600725,0.070488415,-0.377377265,0.70589326,0.960477167
